ID,Parent_ID,Level,Path,Name,Count
1,,1,Бильярд,Бильярд,409
33,,1,Дартс,Дартс,0
38,,1,Игровые столы,Игровые столы,0
43,,1,Настольный теннис,Настольный теннис,0
48,,1,Покер,Покер,1
55,,1,Прочее,Прочее,2
58,,1,Тренажеры,Тренажеры,0
2,1,2,Бильярд > Аксессуары,Аксессуары,19
5,1,2,Бильярд > Аксессуары для киев,Аксессуары для киев,20
8,1,2,Бильярд > Кии,Кии,23
13,1,2,Бильярд > Комплектующие столов,Комплектующие столов,27
16,1,2,Бильярд > Освещение,Освещение,0
18,1,2,Бильярд > Прочее,Прочее,170
20,1,2,Бильярд > Столы,Столы,0
22,1,2,Бильярд > Сукно и покрытия,Сукно и покрытия,60
24,1,2,Бильярд > Чехлы и тубусы,Чехлы и тубусы,88
27,1,2,Бильярд > Шары,Шары,2
3,2,3,Бильярд > Аксессуары > Перчатки,Перчатки,19
4,2,3,Бильярд > Аксессуары > Треугольники,Треугольники,0
6,5,3,Бильярд > Аксессуары для киев > Мел,Мел,3
7,5,3,Бильярд > Аксессуары для киев > Наклейки,Наклейки,17
9,8,3,Бильярд > Кии > Прочие кии,Прочие кии,0
10,8,3,Бильярд > Кии > Пул,Пул,7
11,8,3,Бильярд > Кии > Русский бильярд,Русский бильярд,13
12,8,3,Бильярд > Кии > Снукер,Снукер,3
14,13,3,Бильярд > Комплектующие столов > Лузы,Лузы,16
15,13,3,Бильярд > Комплектующие столов > Резина для бортов,Резина для бортов,11
17,16,3,Бильярд > Освещение > Светильники,Светильники,0
19,18,3,Бильярд > Прочее > Аксессуары,Аксессуары,170
21,20,3,Бильярд > Столы > Бильярдные столы,Бильярдные столы,0
23,22,3,Бильярд > Сукно и покрытия > Сукно,Сукно,60
25,24,3,Бильярд > Чехлы и тубусы > Тубусы и футляры,Тубусы и футляры,19
26,24,3,Бильярд > Чехлы и тубусы > Чехлы для столов,Чехлы для столов,69
28,27,3,Бильярд > Шары > Прочие шары,Прочие шары,0
29,27,3,Бильярд > Шары > Пул,Пул,1
30,27,3,Бильярд > Шары > Русский бильярд,Русский бильярд,0
31,27,3,Бильярд > Шары > Снукер,Снукер,1
32,27,3,Бильярд > Шары > Тренировочные,Тренировочные,0
34,33,2,Дартс > Аксессуары,Аксессуары,0
36,33,2,Дартс > Дротики,Дротики,0
35,34,3,Дартс > Аксессуары > Прочее,Прочее,0
37,36,3,Дартс > Дротики > Дротики,Дротики,0
39,38,2,Игровые столы > Аэрохоккей,Аэрохоккей,0
41,38,2,Игровые столы > Настольный футбол,Настольный футбол,0
40,39,3,Игровые столы > Аэрохоккей > Аэрохоккей,Аэрохоккей,0
42,41,3,Игровые столы > Настольный футбол > Кикер,Кикер,0
44,43,2,Настольный теннис > Ракетки,Ракетки,0
46,43,2,Настольный теннис > Столы,Столы,0
45,44,3,Настольный теннис > Ракетки > Ракетки,Ракетки,0
47,46,3,Настольный теннис > Столы > Теннисные столы,Теннисные столы,0
49,48,2,Покер > Карты,Карты,1
51,48,2,Покер > Наборы,Наборы,0
53,48,2,Покер > Фишки,Фишки,0
50,49,3,Покер > Карты > Карты,Карты,1
52,51,3,Покер > Наборы > Наборы для покера,Наборы для покера,0
54,53,3,Покер > Фишки > Фишки,Фишки,0
56,55,2,Прочее > Без категории,Без категории,2
57,56,3,Прочее > Без категории > Прочее,Прочее,2
59,58,2,Тренажеры > Тренажеры,Тренажеры,0
60,59,3,Тренажеры > Тренажеры > Тренажеры,Тренажеры,0
